titleid,title,weekday,src
731978,정순애 식당,wed,https://shared-comic.pstatic.net/thumb/webtoon/731978/thumbnail/thumbnail_IMAG10_b733dcf0-52e4-4378-bb88-21a3c5efa043.jpg
747637,더 트웰브,wed,https://shared-comic.pstatic.net/thumb/webtoon/747637/thumbnail/thumbnail_IMAG10_90b0c422-2623-4763-a458-fc490877b44d.jpg
725829,아도나이,wed,https://shared-comic.pstatic.net/thumb/webtoon/725829/thumbnail/thumbnail_IMAG10_b7460a77-7be4-46c4-b3da-36655b868736.jpg
742105,미래의 골동품 가게,wed,https://shared-comic.pstatic.net/thumb/webtoon/742105/thumbnail/thumbnail_IMAG10_1c174d09-90a4-4248-8dc1-d746892b62f3.jpg
745589,범이올시다!,wed,https://shared-comic.pstatic.net/thumb/webtoon/745589/thumbnail/thumbnail_IMAG10_9eed1b93-3d3b-4dd3-83a5-d5c3ca2aff39.jpg
733034,방탈출,wed,https://shared-comic.pstatic.net/thumb/webtoon/733034/thumbnail/thumbnail_IMAG10_534e165f-93ab-48fd-af05-23ff516ee7a4.jpg
736281,럭키언럭키,wed,https://shared-comic.pstatic.net/thumb/webtoon/736281/thumbnail/thumbnail_IMAG10_bec0b143-8251-4459-a463-37d47786a123.jpg
735979,얼굴천재,wed,https://shared-comic.pstatic.net/thumb/webtoon/735979/thumbnail/thumbnail_IMAG10_8ce9ea49-a1b7-43d1-af7b-1a9f11c9bd90.jpg
748535,마른 가지에 바람처럼,wed,https://shared-comic.pstatic.net/thumb/webtoon/748535/thumbnail/thumbnail_IMAG10_611d136c-09d6-4607-9201-a8dbd1efad40.jpg
733079,원수를 사랑하라,wed,https://shared-comic.pstatic.net/thumb/webtoon/733079/thumbnail/thumbnail_IMAG10_93f97f3e-60a7-4d96-8c8d-5303071202e0.jpg
751625,수상한 비밀상담부,wed,https://shared-comic.pstatic.net/thumb/webtoon/751625/thumbnail/thumbnail_IMAG10_3466277a-22d5-4971-a87d-27c2ce442229.jpg
602916,칼부림,wed,https://shared-comic.pstatic.net/thumb/webtoon/602916/thumbnail/thumbnail_IMAG10_243624c9-67a6-442d-bf1f-d1cade18a8ef.jpg
741150,당신의 향수,wed,https://shared-comic.pstatic.net/thumb/webtoon/741150/thumbnail/thumbnail_IMAG10_76ed0838-0617-4f9e-8d95-184e7326a5e2.jpg
731939,나의 우주,wed,https://shared-comic.pstatic.net/thumb/webtoon/731939/thumbnail/thumbnail_IMAG10_a3d0d491-aa09-49d2-a852-681a889b742a.jpg
751642,스캔들,wed,https://shared-comic.pstatic.net/thumb/webtoon/751642/thumbnail/thumbnail_IMAG10_64016aa3-d684-4d4d-926f-84b372bb92fd.jpg
737836,오버더문,wed,https://shared-comic.pstatic.net/thumb/webtoon/737836/thumbnail/thumbnail_IMAG10_46052d6c-517d-4231-96a4-f2d83a71c436.jpg
727268,커넥트,wed,https://shared-comic.pstatic.net/thumb/webtoon/727268/thumbnail/thumbnail_IMAG10_f1008bab-b11a-42cf-89fc-98eeb5b16661.jpg
747961,인터셉트,wed,https://shared-comic.pstatic.net/thumb/webtoon/747961/thumbnail/thumbnail_IMAG10_c3999784-9f8d-46ec-b25e-842bf203d447.jpg
740481,천도,wed,https://shared-comic.pstatic.net/thumb/webtoon/740481/thumbnail/thumbnail_IMAG10_c0e7a7c6-d2cf-448f-9a2b-db148647d61f.jpg
739113,기억흔적,wed,https://shared-comic.pstatic.net/thumb/webtoon/739113/thumbnail/thumbnail_IMAG10_f79166a2-4b37-417f-be82-c682f5a3a298.jpg
743026,비스타,wed,https://shared-comic.pstatic.net/thumb/webtoon/743026/thumbnail/thumbnail_IMAG10_71d21ddb-9554-459d-9081-ac4da0ad6d4e.jpg
737009,FM보이,wed,https://shared-comic.pstatic.net/thumb/webtoon/737009/thumbnail/thumbnail_IMAG10_1bc26a1e-7ba4-4cb4-b42f-85bdc22fd54a.jpg
745473,노선도,wed,https://shared-comic.pstatic.net/thumb/webtoon/745473/thumbnail/thumbnail_IMAG10_d647a7b4-8594-4327-af6e-9ecd9ce57aeb.jpg
745236,스몰,wed,https://shared-comic.pstatic.net/thumb/webtoon/745236/thumbnail/thumbnail_IMAG10_003bc1bf-1966-454d-880b-a869495196cc.jpg
